AIRA,Air Astana,Air Astana JSC,"","",Republic of Kazakhstan,Almaty,Zakarpatskaya st. 4A,airastana.com/,https://logo.clearbit.com/airastana.com,"air transportation of passengers, luggage, cargo, mail by international and domestic airlines",2,2025-05-17 02:49:38.312164+06,2025-05-17 02:49:38.312164+06,f
KSPI,Kaspi.kz,Kaspi.kz JSC,"","",Republic of Kazakhstan,Almaty,Nauryzbay batyr str. 154а,http://ir.kaspi.kz/,https://logo.clearbit.com/ir.kaspi.kz,finance and investments,3,2025-05-17 02:49:38.312164+06,2025-05-17 02:49:38.312164+06,f
CCBN,Bank CenterCredit,Bank CenterCredit JSC,"","",Republic of Kazakhstan,Almaty,Al-Farabi ave. 38,http://www.bcc.kz/,https://logo.clearbit.com/www.bcc.kz,Banking activities,4,2025-05-17 02:49:38.312164+06,2025-05-17 02:49:38.312164+06,f
HSBK,Halyk Bank of Kazakhstan,Halyk Bank of Kazakhstan JSC,"","",Republic of Kazakhstan,Almaty,Al-Farabi ave. 40,http://www.halykbank.kz/,https://logo.clearbit.com/www.halykbank.kz,Banking activities,5,2025-05-17 02:49:38.312164+06,2025-05-17 02:49:38.312164+06,f
KCEL,Kcell,Kcell JSC,"","",Republic of Kazakhstan,Almaty,Alimzhanova st. 51,http://www.kcell.kz/,https://logo.clearbit.com/www.kcell.kz,mobile operator,6,2025-05-17 02:49:38.312164+06,2025-05-17 02:49:38.312164+06,f
KEGC,"'"KEGOC'"","JSC '"KEGOC'"","","",Republic of Kazakhstan,Astana,Tauelsizdik Ave. 59,http://www.kegoc.kz/,https://logo.clearbit.com/www.kegoc.kz,"power transmission, technical despatching and balanced production of electricity in Republic of Kazakhstan",7,2025-05-17 02:49:38.312164+06,2025-05-17 02:49:38.312164+06,f
KMGZ,"'"National Company '"KazMunayGaz'"","'"National Company '"KazMunayGaz'" JSC","","",Republic of Kazakhstan,Astana,Dinmukhamed Kunayev 8,www.kmg.kz/,https://logo.clearbit.com/www.kmg.kz,carrying out oil operations on blocks awarded to the company on the basis of directi negotiations,8,2025-05-17 02:49:38.312164+06,2025-05-17 02:49:38.312164+06,f
KZAP,"'"NAC Kazatomprom'"","JSC '"NAC Kazatomprom'"","","",Republic of Kazakhstan,Astana,Syganak Street 17/12,http://www.kazatomprom.kz/,https://logo.clearbit.com/www.kazatomprom.kz,"national operator of exports and imports of uranium and its compounds, nuclear fuel for nuclear plants, special equipment and technology",9,2025-05-17 02:49:38.312164+06,2025-05-17 02:49:38.312164+06,f
KZTK,"'"Kazakhtelecom'"","JSC '"Kazakhtelecom'"","","",Republic of Kazakhstan,Astana,Sauran str.  12,http://www.telecom.kz/,https://logo.clearbit.com/www.telecom.kz,"telephone, telegraph, television and radio communications of all types",10,2025-05-17 02:49:38.312164+06,2025-05-17 02:49:38.312164+06,f
KZTO,"'"KazTransOil'"","JSC '"KazTransOil'"","","",Republic of Kazakhstan,Astana,20 n.p.12,http://www.kaztransoil.kz/,https://logo.clearbit.com/www.kaztransoil.kz,"oil transporting service including pipeline, sea and railroad transport; transportation of oil products and water using pipeline system; oil loading operations",11,2025-05-17 02:49:38.312164+06,2025-05-17 02:49:38.312164+06,f
